source_ip,dest_ip,dest_port,protocol,event_count,packet_count,byte_count,flow_duration,packet_rate,byte_rate,average_packet_size,syn_ratio,ack_ratio,label,attack_type
104.36.121.72,37.64.65.169,80,TCP,1,4776,96160,0.010785,442837.2739916551,8916087.15808994,20.134003350083752,1.0,0.0,1,DDoS_SYN_Flood
114.145.80.113,192.168.1.215,20,TCP,1,3,107,0.001149,2610.9660574412533,93124.45604873802,35.666666666666664,1.0,0.0,1,Port_Scan
114.145.80.113,192.168.1.215,32,TCP,1,2,53,0.01884,106.15711252653928,2813.163481953291,26.5,1.0,0.0,1,Port_Scan
114.145.80.113,192.168.1.215,40,TCP,1,1,53,0.015106,66.19886137958427,3508.5396531179663,53.0,1.0,0.0,1,Port_Scan
114.145.80.113,192.168.1.215,50,TCP,1,2,117,0.005002,399.8400639744102,23390.643742502998,58.5,1.0,0.0,1,Port_Scan
114.145.80.113,192.168.1.215,56,TCP,1,3,73,0.010603,282.93879090823356,6884.843912100349,24.333333333333332,1.0,0.0,1,Port_Scan
114.145.80.113,192.168.1.215,80,TCP,1,1,40,0.007338,136.2769146906514,5451.076587626057,40.0,1.0,0.0,1,Port_Scan
114.145.80.113,192.168.1.215,90,TCP,1,1,51,0.013051,76.62248103593595,3907.746532832733,51.0,1.0,0.0,1,Port_Scan
114.145.80.113,192.168.1.215,111,TCP,1,2,60,0.015083,132.59961546111518,3977.988463833455,30.0,1.0,0.0,1,Port_Scan
128.210.239.222,37.64.65.169,80,TCP,1,1243,216518,0.013069,95110.56699058841,16567296.65620935,174.18986323411102,1.0,0.0,1,DDoS_SYN_Flood
133.50.25.167,37.64.65.169,80,TCP,1,920,294016,0.001865,493297.5871313673,157649329.75871316,319.5826086956522,1.0,0.0,1,DDoS_SYN_Flood
134.71.216.47,37.64.65.169,80,TCP,1,3081,161275,0.004996,616693.354683747,32280824.659727786,52.34501785134697,1.0,0.0,1,DDoS_SYN_Flood
170.112.3.19,37.64.65.169,80,TCP,1,1282,100015,0.001348,951038.5756676558,74195103.85756676,78.01482059282371,1.0,0.0,1,DDoS_SYN_Flood
192.168.1.10,27.47.111.60,80,TCP,1,40,7015,5.813351,6.880713034530342,1206.7050484307588,175.375,1.0,1.0,0,Normal
192.168.1.113,60.232.1.245,443,TCP,1,37,6354,4.209149,8.790375441686669,1509.5687988237053,171.72972972972974,0.0,1.0,0,Normal
192.168.1.121,155.128.5.175,80,TCP,1,48,18095,6.081759,7.892453482619091,2975.2905368331762,376.9791666666667,1.0,1.0,0,Normal
192.168.1.145,157.134.219.230,80,TCP,1,28,7686,7.979408,3.509032249008949,963.2293523529564,274.5,0.0,1.0,0,Normal
192.168.1.152,91.3.81.179,80,TCP,1,26,9605,1.497192,17.36584218991285,6415.342855158189,369.4230769230769,1.0,1.0,0,Normal
192.168.1.217,216.28.117.211,80,TCP,1,56,10836,3.388969,16.524199542692777,3197.4326115110525,193.5,0.0,1.0,0,Normal
192.168.1.243,165.161.108.168,80,TCP,1,30,15535,1.400111,21.42687258367372,11095.548852912376,517.8333333333334,0.0,1.0,0,Normal
192.168.1.25,213.24.56.40,443,TCP,1,55,14333,4.89235,11.242041145870592,2929.6759226138765,260.6,1.0,1.0,0,Normal
192.168.1.254,40.119.51.98,443,TCP,1,34,12454,1.552437,21.9010497688473,8022.225700624244,366.29411764705884,1.0,1.0,0,Normal
192.168.1.30,112.157.122.15,443,TCP,1,41,3080,0.959532,42.729163800686166,3209.8981586856926,75.1219512195122,1.0,1.0,0,Normal
192.168.1.70,199.36.87.137,443,TCP,1,15,15647,3.221807,4.655772366252851,4856.5913476505575,1043.1333333333334,0.0,1.0,0,Normal
192.168.1.78,183.101.78.96,443,TCP,1,39,17878,7.3724,5.290000542564158,2424.9905051272312,458.4102564102564,1.0,1.0,0,Normal
192.168.1.8,209.140.125.58,443,TCP,1,52,3858,5.510586,9.436382990847072,700.1070303593847,74.1923076923077,0.0,1.0,0,Normal
192.168.1.98,40.150.185.148,443,TCP,1,50,2779,0.652848,76.58750582065045,4256.733573511751,55.58,0.0,1.0,0,Normal
192.168.1.99,44.183.176.155,443,TCP,1,56,1923,5.918935,9.461161509629688,324.8895282681766,34.339285714285715,0.0,1.0,0,Normal
202.159.204.172,37.64.65.169,80,TCP,1,3859,154845,0.017992,214484.21520675856,8606325.033348154,40.125680228038355,1.0,0.0,1,DDoS_SYN_Flood
220.232.146.109,192.168.1.180,22,TCP,10,90,8454,7.189424,12.518388121218056,1175.8939241864161,93.93333333333334,1.0,0.0,1,Brute_Force
35.206.173.205,37.64.65.169,80,TCP,1,1695,105183,0.003832,442327.7661795407,27448590.814196244,62.054867256637166,1.0,0.0,1,DDoS_SYN_Flood
50.126.115.17,37.64.65.169,80,TCP,1,3569,45514,0.011766,303331.6335203128,3868264.490906,12.752591762398431,1.0,0.0,1,DDoS_SYN_Flood
62.135.216.247,37.64.65.169,80,TCP,1,2535,283509,0.010786,235026.88670498793,26284906.36009642,111.8378698224852,1.0,0.0,1,DDoS_SYN_Flood
62.194.1.253,37.64.65.169,80,TCP,1,3998,109521,0.01853,215758.22989746355,5910469.5089044785,27.393946973486745,1.0,0.0,1,DDoS_SYN_Flood
62.208.248.124,37.64.65.169,80,TCP,1,2551,266662,0.008021,318040.1446203715,33245480.61338985,104.53234025872207,1.0,0.0,1,DDoS_SYN_Flood
82.242.208.49,37.64.65.169,80,TCP,1,1572,65409,0.01318,119271.62367223065,4962746.585735964,41.6087786259542,1.0,0.0,1,DDoS_SYN_Flood
