timestamp,source_ip,dest_ip,dest_port,protocol,packet_count,byte_count,duration,flag_syn,flag_ack,label,attack_type
2026-07-16 09:00:10.312548,192.168.1.8,209.140.125.58,443,TCP,52,3858,5.510586,0,1,0,Normal
2026-07-16 09:00:19.988951,192.168.1.10,27.47.111.60,80,TCP,40,7015,5.813351,1,1,0,Normal
2026-07-16 09:00:24.854679,192.168.1.152,91.3.81.179,80,TCP,26,9605,1.497192,1,1,0,Normal
2026-07-16 09:00:28.183413,192.168.1.99,44.183.176.155,443,TCP,56,1923,5.918935,0,1,0,Normal
2026-07-16 09:00:42.833918,192.168.1.98,40.150.185.148,443,TCP,50,2779,0.652848,0,1,0,Normal
2026-07-16 09:00:54.883806,192.168.1.254,40.119.51.98,443,TCP,34,12454,1.552437,1,1,0,Normal
2026-07-16 09:00:59.607397,192.168.1.70,199.36.87.137,443,TCP,15,15647,3.221807,0,1,0,Normal
2026-07-16 09:01:10.507382,192.168.1.217,216.28.117.211,80,TCP,56,10836,3.388969,0,1,0,Normal
2026-07-16 09:01:15.250159,192.168.1.243,165.161.108.168,80,TCP,30,15535,1.400111,0,1,0,Normal
2026-07-16 09:01:20.456317,192.168.1.145,157.134.219.230,80,TCP,28,7686,7.979408,0,1,0,Normal
2026-07-16 09:01:29.080159,192.168.1.25,213.24.56.40,443,TCP,55,14333,4.89235,1,1,0,Normal
2026-07-16 09:01:36.041210,192.168.1.121,155.128.5.175,80,TCP,48,18095,6.081759,1,1,0,Normal
2026-07-16 09:01:39.491388,192.168.1.113,60.232.1.245,443,TCP,37,6354,4.209149,0,1,0,Normal
2026-07-16 09:01:52.808129,192.168.1.78,183.101.78.96,443,TCP,39,17878,7.3724,1,1,0,Normal
2026-07-16 09:02:01.160003,192.168.1.30,112.157.122.15,443,TCP,41,3080,0.959532,1,1,0,Normal
2026-07-16 09:02:05.625850,62.135.216.247,37.64.65.169,80,TCP,2535,283509,0.010786,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.642850,202.159.204.172,37.64.65.169,80,TCP,3859,154845,0.017992,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.675850,50.126.115.17,37.64.65.169,80,TCP,3569,45514,0.011766,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.694850,170.112.3.19,37.64.65.169,80,TCP,1282,100015,0.001348,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.701850,104.36.121.72,37.64.65.169,80,TCP,4776,96160,0.010785,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.736850,82.242.208.49,37.64.65.169,80,TCP,1572,65409,0.01318,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.763850,128.210.239.222,37.64.65.169,80,TCP,1243,216518,0.013069,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.774850,35.206.173.205,37.64.65.169,80,TCP,1695,105183,0.003832,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.813850,134.71.216.47,37.64.65.169,80,TCP,3081,161275,0.004996,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.822850,133.50.25.167,37.64.65.169,80,TCP,920,294016,0.001865,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.842850,62.208.248.124,37.64.65.169,80,TCP,2551,266662,0.008021,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:05.850850,62.194.1.253,37.64.65.169,80,TCP,3998,109521,0.01853,1,0,1,DDoS_SYN_Flood
2026-07-16 09:02:14.529663,220.232.146.109,192.168.1.180,22,TCP,11,617,0.116464,1,0,1,Brute_Force
2026-07-16 09:02:15.301433,220.232.146.109,192.168.1.180,22,TCP,12,424,0.311791,1,0,1,Brute_Force
2026-07-16 09:02:16.057150,220.232.146.109,192.168.1.180,22,TCP,12,1387,0.105101,1,0,1,Brute_Force
2026-07-16 09:02:16.903228,220.232.146.109,192.168.1.180,22,TCP,6,440,0.258262,1,0,1,Brute_Force
2026-07-16 09:02:17.720749,220.232.146.109,192.168.1.180,22,TCP,5,1466,0.136175,1,0,1,Brute_Force
2026-07-16 09:02:18.530201,220.232.146.109,192.168.1.180,22,TCP,10,1495,0.247829,1,0,1,Brute_Force
2026-07-16 09:02:19.311838,220.232.146.109,192.168.1.180,22,TCP,9,788,0.142965,1,0,1,Brute_Force
2026-07-16 09:02:20.074926,220.232.146.109,192.168.1.180,22,TCP,11,947,0.375156,1,0,1,Brute_Force
2026-07-16 09:02:20.918499,220.232.146.109,192.168.1.180,22,TCP,5,450,0.238172,1,0,1,Brute_Force
2026-07-16 09:02:21.719087,220.232.146.109,192.168.1.180,22,TCP,9,440,0.357745,1,0,1,Brute_Force
2026-07-16 09:02:26.397741,114.145.80.113,192.168.1.215,20,TCP,3,107,0.001149,1,0,1,Port_Scan
2026-07-16 09:02:26.479741,114.145.80.113,192.168.1.215,32,TCP,2,53,0.01884,1,0,1,Port_Scan
2026-07-16 09:02:26.517741,114.145.80.113,192.168.1.215,40,TCP,1,53,0.015106,1,0,1,Port_Scan
2026-07-16 09:02:26.556741,114.145.80.113,192.168.1.215,50,TCP,2,117,0.005002,1,0,1,Port_Scan
2026-07-16 09:02:26.607741,114.145.80.113,192.168.1.215,56,TCP,3,73,0.010603,1,0,1,Port_Scan
2026-07-16 09:02:26.653741,114.145.80.113,192.168.1.215,90,TCP,1,51,0.013051,1,0,1,Port_Scan
2026-07-16 09:02:26.736741,114.145.80.113,192.168.1.215,80,TCP,1,40,0.007338,1,0,1,Port_Scan
2026-07-16 09:02:26.774741,114.145.80.113,192.168.1.215,111,TCP,2,60,0.015083,1,0,1,Port_Scan
